09:53:12,180 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:15:18,774 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:15:18,775 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=202 ms, enhance=43 ms, total=245 ms. Consult the log for full details
10:17:29,325 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:17:29,583 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:17:29,653 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:17:29,654 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:17:29,655 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:17:29,656 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:17:29,889 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:17:29,890 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=225 ms, enhance=78 ms, total=303 ms. Consult the log for full details
10:17:48,523 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:17:48,765 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:17:48,824 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:17:48,824 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:17:48,825 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:17:48,826 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:17:49,041 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:17:49,041 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=214 ms, enhance=57 ms, total=271 ms. Consult the log for full details
10:20:40,273 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:20:40,543 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:20:40,614 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:20:40,615 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:20:40,615 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:20:40,616 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:20:40,826 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:20:40,826 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=215 ms, enhance=62 ms, total=277 ms. Consult the log for full details
10:21:11,336 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:21:11,601 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:21:11,658 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:21:11,659 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:11,660 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:21:11,660 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:11,882 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:21:11,882 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=211 ms, enhance=66 ms, total=277 ms. Consult the log for full details
10:21:20,759 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:21:21,028 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:21:21,088 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:21:21,089 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:21,090 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:21:21,091 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:21,307 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:21:21,307 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=214 ms, enhance=61 ms, total=275 ms. Consult the log for full details
10:21:34,541 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:21:34,808 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:21:34,868 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:21:34,869 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:34,870 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:21:34,870 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:35,095 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:21:35,096 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=214 ms, enhance=67 ms, total=281 ms. Consult the log for full details
10:21:48,123 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:21:48,398 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:21:48,456 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:21:48,457 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:48,458 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:21:48,458 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:21:48,693 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:21:48,694 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=224 ms, enhance=66 ms, total=290 ms. Consult the log for full details
10:22:22,400 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:22:22,670 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:22:22,731 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:22:22,732 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:22:22,732 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:22:22,733 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:22:22,913 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:22:22,913 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=206 ms, enhance=31 ms, total=237 ms. Consult the log for full details
10:22:59,035 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:22:59,429 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:22:59,495 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:22:59,513 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:22:59,514 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:22:59,515 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:22:59,516 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:22:59,807 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:22:59,807 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=321 ms, enhance=49 ms, total=370 ms. Consult the log for full details
10:22:59,851 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:22:59,917 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:22:59,918 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:22:59,919 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:22:59,920 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:23:00,133 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:23:00,133 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=245 ms, enhance=30 ms, total=275 ms. Consult the log for full details
10:23:24,135 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:23:24,359 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:23:24,416 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:23:24,417 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:23:24,418 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:23:24,419 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:23:24,635 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:23:24,636 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=227 ms, enhance=44 ms, total=271 ms. Consult the log for full details
10:24:20,282 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:24:20,562 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:24:20,623 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:24:20,624 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:20,624 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:24:20,625 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:20,833 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:24:20,833 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=235 ms, enhance=30 ms, total=265 ms. Consult the log for full details
10:24:28,947 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:24:29,206 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:24:29,276 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:24:29,277 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:29,278 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:24:29,279 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:29,515 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:24:29,516 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=261 ms, enhance=43 ms, total=304 ms. Consult the log for full details
10:24:34,018 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:24:34,277 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:24:34,335 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:24:34,336 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:34,336 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:24:34,337 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:24:34,539 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:24:34,540 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=231 ms, enhance=28 ms, total=259 ms. Consult the log for full details
10:25:13,733 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:25:14,004 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:25:14,062 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:25:14,063 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:25:14,063 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:25:14,064 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:25:14,272 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:25:14,272 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=226 ms, enhance=38 ms, total=264 ms. Consult the log for full details
10:25:27,736 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:25:27,993 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:25:28,058 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:25:28,059 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:25:28,060 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:25:28,061 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:25:28,270 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:25:28,271 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=246 ms, enhance=27 ms, total=273 ms. Consult the log for full details
10:26:04,789 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:26:05,075 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:26:05,161 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:26:05,162 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:26:05,163 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:26:05,165 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:26:05,383 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:26:05,383 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=276 ms, enhance=28 ms, total=304 ms. Consult the log for full details
10:27:10,997 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:27:11,262 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:27:11,356 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:27:11,357 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:27:11,358 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:27:11,360 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:27:11,568 (main) INFO  [DataNucleus.Enhancer] - Class "com.nattubaba.learn.jdo.entities.Book" is already enhanced.
10:27:11,569 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=274 ms, enhance=28 ms, total=302 ms. Consult the log for full details
10:28:49,181 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:28:49,471 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
10:28:49,529 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDate<->java.lang.String ignored since java type not present in CLASSPATH
10:28:49,530 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.String ignored since java type not present in CLASSPATH
10:28:49,531 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalTime<->java.lang.Long ignored since java type not present in CLASSPATH
10:28:49,531 (main) INFO  [DataNucleus.Persistence] - TypeConverter for javax.time.calendar.LocalDateTime<->java.lang.String ignored since java type not present in CLASSPATH
10:28:49,777 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/nitiraj/work/pandora_repo/pandora/jdo/learn-jdo/target/classes/com/nattubaba/learn/jdo/entities/Book.class" with enhanced definition
10:28:49,778 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=239 ms, enhance=63 ms, total=302 ms. Consult the log for full details
10:29:07,863 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
10:29:08,123 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.0.m1) : Enhancement of classes
